job_index,test_type,data_source,n_obs,n_perms,d_cats,epsilon,x_data,y_data,p_val_chisq_std,p_val_chisq_sim,p_val_perm_u,s3_filename
0,independence,multi_uniform,40,10,100,0.0,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_uniform_n40_cats100_epsilon0_idx0.csv
1,independence,multi_uniform,40,10,100,0.0,home_data.rds,home_data.rds,,,0.272727272727273,sim_out_independence_multi_uniform_n40_cats100_epsilon0_idx1.csv
0,independence,multi_uniform,40,10,10,0.0,home_data.rds,home_data.rds,0.354506972419733,0.363636363636364,0.727272727272727,sim_out_independence_multi_uniform_n40_cats10_epsilon0_idx0.csv
1,independence,multi_uniform,40,10,10,0.0,home_data.rds,home_data.rds,0.537916952688547,0.545454545454545,0.363636363636364,sim_out_independence_multi_uniform_n40_cats10_epsilon0_idx1.csv
0,independence,multi_uniform,40,10,300,0.0,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_uniform_n40_cats300_epsilon0_idx0.csv
1,independence,multi_uniform,40,10,300,0.0,home_data.rds,home_data.rds,,,0.545454545454545,sim_out_independence_multi_uniform_n40_cats300_epsilon0_idx1.csv
0,independence,multi_uniform,40,10,500,0.0,home_data.rds,home_data.rds,,,0.636363636363636,sim_out_independence_multi_uniform_n40_cats500_epsilon0_idx0.csv
1,independence,multi_uniform,40,10,500,0.0,home_data.rds,home_data.rds,,,0.727272727272727,sim_out_independence_multi_uniform_n40_cats500_epsilon0_idx1.csv
0,independence,multi_uniform,40,10,50,0.0,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_uniform_n40_cats50_epsilon0_idx0.csv
1,independence,multi_uniform,40,10,50,0.0,home_data.rds,home_data.rds,,,0.727272727272727,sim_out_independence_multi_uniform_n40_cats50_epsilon0_idx1.csv
0,independence,multi_uniform,60,10,100,0.0,home_data.rds,home_data.rds,,,0.909090909090909,sim_out_independence_multi_uniform_n60_cats100_epsilon0_idx0.csv
1,independence,multi_uniform,60,10,100,0.0,home_data.rds,home_data.rds,,,0.636363636363636,sim_out_independence_multi_uniform_n60_cats100_epsilon0_idx1.csv
0,independence,multi_uniform,60,10,10,0.0,home_data.rds,home_data.rds,0.83462589228408,0.909090909090909,0.363636363636364,sim_out_independence_multi_uniform_n60_cats10_epsilon0_idx0.csv
1,independence,multi_uniform,60,10,10,0.0,home_data.rds,home_data.rds,0.897049140813422,0.818181818181818,0.454545454545455,sim_out_independence_multi_uniform_n60_cats10_epsilon0_idx1.csv
0,independence,multi_uniform,60,10,300,0.0,home_data.rds,home_data.rds,,,0.454545454545455,sim_out_independence_multi_uniform_n60_cats300_epsilon0_idx0.csv
1,independence,multi_uniform,60,10,300,0.0,home_data.rds,home_data.rds,,,0.454545454545455,sim_out_independence_multi_uniform_n60_cats300_epsilon0_idx1.csv
0,independence,multi_uniform,60,10,500,0.0,home_data.rds,home_data.rds,,,0.272727272727273,sim_out_independence_multi_uniform_n60_cats500_epsilon0_idx0.csv
1,independence,multi_uniform,60,10,500,0.0,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_uniform_n60_cats500_epsilon0_idx1.csv
0,independence,multi_uniform,60,10,50,0.0,home_data.rds,home_data.rds,,,0.545454545454545,sim_out_independence_multi_uniform_n60_cats50_epsilon0_idx0.csv
1,independence,multi_uniform,60,10,50,0.0,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_uniform_n60_cats50_epsilon0_idx1.csv
